2 50
87 29 2832
65 53 2028
89 83 1507
35 43 2321
25 92 1643
37 16 2978
33 42 2621
96 43 1040
53 93 2975
49 62 2676
67 61 3042
13 69 1953
94 52 2484
29 28 3013
50 29 1611
36 11 1110
42 100 2040
17 26 1110
90 79 2895
81 29 1279
6 16 1349
54 76 1860
50 76 2773
53 35 1978
47 15 1689
45 18 2281
54 5 1263
76 27 2295
83 16 1365
10 32 2241
77 79 1698
35 70 1681
13 15 2059
34 6 1324
52 87 2020
100 83 2456
44 46 1884
77 20 1184
77 64 1758
57 48 1288
48 16 2566
21 39 1792
17 88 1647
61 91 2217
10 58 1510
65 19 2958
75 79 1303
55 79 1522
71 49 2365
100 88 1508
