2 50
61 21 620
31 25 645
91 25 593
13 86 316
24 91 412
88 89 708
84 74 689
95 30 418
14 53 303
23 96 677
98 41 519
65 12 377
86 89 465
22 72 322
79 54 609
55 89 720
80 46 596
10 96 441
63 30 462
55 69 474
31 54 618
83 61 670
29 64 389
19 25 622
81 78 431
15 34 714
40 72 293
76 68 377
88 17 473
38 70 492
3 27 476
66 83 500
79 25 267
25 78 688
93 68 318
65 26 420
1 62 374
84 48 334
37 67 502
85 22 588
26 8 379
30 41 457
36 17 451
27 14 531
56 41 615
80 20 581
94 33 725
3 57 712
31 41 614
10 22 453
