2 50
95 30 1093
38 30 2200
36 95 2648
1 56 2024
64 84 1322
45 33 1816
69 74 1291
36 2 1189
70 72 2173
66 30 1236
35 15 1581
10 32 1811
52 75 1503
2 23 1405
82 82 1294
42 37 2669
24 21 1142
11 33 1606
84 39 2720
16 81 1188
18 100 2204
80 7 1188
48 63 1961
39 86 2004
71 60 1456
69 79 2467
36 81 2070
30 96 1820
31 37 1718
12 32 1527
28 41 2104
10 88 2290
31 14 2808
31 94 1410
38 8 1977
46 93 2292
56 10 1334
75 84 2079
100 90 2224
62 26 1968
9 86 2546
6 29 1204
9 31 1815
49 74 2615
69 8 1119
98 49 2534
67 26 2044
31 80 1995
79 7 1384
68 17 2620
