2 50
64 21 2314
62 2 2283
75 59 2228
2 39 1951
15 80 2132
97 96 1480
8 97 1953
69 93 2022
86 1 2543
88 70 2317
68 2 1599
86 5 2083
76 87 2549
56 37 2040
75 10 2185
34 44 2280
74 84 2303
10 76 2053
17 45 1683
18 85 2071
75 64 1578
16 2 1994
78 50 2061
15 63 2120
1 30 2551
93 53 2095
23 77 1777
48 8 2351
6 66 1463
45 93 1407
19 73 1991
75 59 2049
64 20 1779
79 84 1696
51 91 1510
32 55 2420
21 48 2551
98 80 2060
31 73 1902
23 9 1598
15 64 1691
77 68 1553
34 19 1578
32 63 2584
57 34 2006
14 42 2260
6 61 2174
22 7 2143
96 18 2002
63 42 2397
