2 50
95 68 804
98 53 944
62 68 146
52 16 271
12 36 1019
20 58 976
62 11 339
7 16 976
35 75 394
63 73 43
60 47 419
46 39 155
25 37 855
46 86 745
44 18 238
36 51 592
27 25 395
42 83 998
91 46 323
18 85 477
48 36 861
40 68 286
34 24 29
19 96 443
16 55 804
9 62 931
31 74 764
40 94 560
5 41 856
23 12 195
35 58 620
96 19 657
84 34 370
37 94 930
55 52 574
6 91 945
12 1 282
23 96 1108
66 100 1071
14 56 227
71 11 201
23 88 438
44 62 725
74 22 691
83 54 783
45 69 587
39 32 224
95 93 279
10 59 1022
84 85 306
