2 50
63 96 1110
19 28 1204
100 89 1513
22 57 1483
26 21 1359
59 26 1524
71 55 1468
64 21 1493
35 47 1286
88 57 1285
91 60 1433
21 31 1188
91 99 1111
15 58 1192
85 53 1539
47 55 1296
26 87 1099
29 46 1517
63 17 1493
35 84 1252
93 37 1424
63 5 1207
68 88 1535
95 67 1228
34 53 1412
55 99 1148
22 25 1273
79 72 1413
95 35 1205
2 18 1449
48 25 1195
54 13 1370
88 7 1259
8 14 1394
98 6 1127
42 65 1238
28 23 1395
3 68 1204
71 89 1476
59 18 1343
20 84 1279
79 23 1090
74 40 1287
80 87 1541
88 42 1477
39 14 1137
12 77 1505
64 87 1455
20 68 1545
83 12 1100
