2 50
35 74 2264
62 10 2044
31 56 1840
43 56 2337
26 85 1850
48 51 2085
64 47 2353
35 50 2205
40 20 2349
43 76 2252
26 84 2130
66 94 1992
95 41 2155
74 72 2337
73 99 2182
13 97 1893
80 65 2171
30 100 2190
68 78 2024
88 54 2008
40 59 1902
73 30 1852
70 35 1847
79 6 2280
32 28 2172
82 42 2067
31 18 2265
6 78 2019
66 6 2193
22 96 1850
4 37 1902
90 100 1994
86 93 1867
76 48 2203
47 66 2137
1 42 2277
69 4 2349
11 44 2079
37 61 1883
54 82 2162
37 46 1841
63 70 1898
41 47 2272
7 5 1893
71 6 2215
36 60 1897
32 8 2124
92 69 2338
88 98 1994
3 74 2300
