2 50
16 62 1037
32 45 1853
1 70 611
51 70 1247
11 88 624
35 23 1864
28 73 1528
86 100 1081
24 100 1506
54 77 2269
57 31 570
23 14 844
16 58 300
39 61 689
75 100 1741
11 99 1371
85 82 1824
18 33 1284
99 88 1175
23 72 363
33 61 1422
28 3 1159
72 86 732
72 92 587
5 36 1080
96 85 1788
98 98 945
98 28 677
79 61 1562
2 73 762
63 66 824
49 23 1844
96 3 974
34 46 1015
37 62 2118
59 64 378
15 46 1632
21 69 1843
14 32 947
16 63 535
24 1 517
49 61 804
2 20 1169
100 19 1884
62 34 411
76 19 2028
97 65 765
81 35 993
85 14 1168
81 75 706
