2 50
25 90 2426
97 21 1660
57 72 2283
41 74 1873
92 71 2461
53 99 1543
43 5 2520
73 71 1211
95 66 1286
96 51 2689
74 56 2812
53 57 1553
34 46 2748
84 67 2040
70 20 1079
37 60 2239
57 51 2575
63 40 1133
51 21 3075
29 2 1985
15 10 1659
37 63 2224
1 20 1177
62 100 2620
39 100 2237
28 18 1591
95 6 1540
53 37 3045
91 27 1454
42 3 1374
89 81 1456
34 91 2000
20 99 2967
98 82 3069
39 82 3151
70 84 2758
44 75 1848
7 66 2100
47 21 1604
18 55 1076
32 89 1362
24 28 1579
14 37 2242
30 52 1438
82 98 1338
63 32 2027
67 25 2944
6 4 2826
83 59 2475
98 46 2581
