2 50
50 87 2578
81 56 2450
19 33 2277
33 5 2042
91 69 1604
58 3 2178
14 72 2178
100 25 1924
84 55 2406
84 8 2288
80 81 2217
68 2 2672
37 38 2438
79 88 1878
96 38 2246
16 79 1929
54 65 1578
54 26 2292
83 40 1524
43 42 1704
6 16 2211
53 88 1775
71 50 2458
8 23 1806
35 31 2611
9 78 2483
75 45 1953
2 60 2596
40 37 2301
79 16 2305
53 82 1654
41 36 2294
33 6 1680
89 84 1693
47 23 1496
99 24 2656
67 5 2263
100 94 1487
63 43 1976
33 89 1694
34 19 1918
65 95 2753
35 49 1553
96 87 2662
29 50 2476
96 98 1868
30 89 2753
92 59 2399
38 30 1989
84 6 2648
