2 50
90 74 1937
54 29 1365
7 13 1991
53 8 2282
12 33 2066
64 15 1806
79 77 1415
37 92 2324
32 16 1318
77 9 1995
59 77 2110
53 24 1631
44 1 1871
52 96 1850
29 77 1958
8 86 2239
97 30 2327
33 91 1587
28 50 1428
6 89 2255
20 80 1351
45 64 1907
6 12 1519
65 59 1862
75 73 1436
50 40 1684
37 98 2056
97 44 1688
81 74 2198
60 10 2004
91 19 1287
17 49 1795
24 97 1462
94 32 1627
39 40 1413
3 34 1370
1 24 1366
39 95 2230
53 28 1880
76 49 1458
96 1 1736
37 42 1425
1 43 1336
45 49 1490
13 51 1708
6 31 1842
45 51 1459
19 24 2262
72 36 1920
13 13 2028
