2 50
82 6 1404
41 2 1241
30 8 1174
90 45 928
84 5 2178
67 84 1603
23 62 1481
76 82 570
19 6 1986
26 2 1418
33 44 1379
28 98 1801
13 23 792
77 22 445
63 91 1384
44 40 983
36 81 879
77 42 1194
9 56 569
36 45 754
1 81 1603
12 9 1479
95 4 1607
33 50 1207
46 40 1301
80 53 634
44 37 2143
62 73 823
85 56 740
16 99 584
32 78 1767
3 63 633
46 24 2121
100 62 652
26 59 1432
25 69 1081
57 40 1356
68 44 712
95 54 1556
3 39 1368
94 99 1862
56 91 1360
33 35 2146
47 24 1611
3 95 1646
95 17 565
70 25 1791
82 65 1304
77 81 1864
43 49 1320
