2 50
97 95 2595
22 69 1905
86 78 2493
78 54 1854
81 64 2762
21 14 2729
93 57 2030
6 21 2205
27 25 1890
13 26 1574
55 97 1790
81 69 2754
100 32 2034
82 25 2722
96 11 1718
46 31 2095
44 67 2396
49 16 2041
80 33 2417
51 12 2300
62 26 2227
89 55 1844
79 28 1987
76 33 1761
94 65 2474
25 52 1803
38 71 2100
44 45 2224
22 39 2175
52 23 1490
7 81 1477
62 7 2515
5 100 2171
25 84 2426
1 90 1625
66 48 1672
43 71 2264
31 68 2347
82 75 2088
93 77 2188
8 97 1998
39 72 2020
80 78 2474
37 68 2176
92 77 1754
29 33 2215
32 31 1534
54 22 2356
72 74 1550
6 66 2298
